"NBPERSMENFISC15","ambulance","analyse_medicale","autre","autre_specialiste","chirurgien","dentiste","generaliste","hopital","infirmiers","organe","radiologiste","reeducateur_podologue","generaliste_habitant","infirmiers_habitant","ambulance_habitant","hopital_habitant","regionName","indice"
"172920.5","34.0","10.0","84.0","52.0","12.0","83.0","226.0","47.0","325.0","0.0","17.0","232.0","130.6958978258795","187.94764067880905","19.662214717167714","27.180120344320077","Alsace-Champagne-Ardenne-Lorraine","94.7322571077267"
"738554.0","120.0","55.0","936.0","400.0","47.0","513.0","1002.0","139.0","1937.0","2.0","71.0","1530.0","135.67051292119467","262.2692450382775","16.24796561930475","18.82056017569467","Bretagne","96.43815956845425"
"996893.5","123.0","118.0","664.0","564.0","104.0","715.0","1338.0","241.0","2278.0","33.0","87.0","1492.0","134.2169449394544","228.5098658984134","12.338329019097827","24.175099947988425","Alsace-Champagne-Ardenne-Lorraine","97.87253632005468"
"199034.5","49.0","15.0","158.0","112.0","13.0","130.0","234.0","72.0","348.0","1.0","38.0","288.0","117.56755738326773","174.84405969819304","24.618847486239822","36.17463304100546","Bourgogne-Franche-Comté","101.30798317716012"
"2517383.5","256.0","213.0","1882.0","1660.0","274.0","1631.0","4036.0","533.0","4845.0","17.0","377.0","5847.0","160.32519479054343","192.46173656099677","10.169288866793638","21.17277721094144","Nord-Pas-de-Calais-Picardie","94.59194719891953"
"810629.5","68.0","71.0","569.0","319.0","51.0","356.0","808.0","168.0","862.0","2.0","59.0","917.0","99.6756224637766","106.33711208388048","8.38854248457526","20.72463437365652","Nord-Pas-de-Calais-Picardie","66.57662631763955"
"272144.5","63.0","14.0","164.0","100.0","32.0","112.0","283.0","137.0","497.0","1.0","18.0","326.0","103.98887355798115","182.62356946401636","23.149466551776722","50.34090345386367","Normandie","117.6833107153023"
"1448438.5","155.0","112.0","719.0","677.0","136.0","750.0","1851.0","273.0","3136.0","4.0","210.0","2692.0","127.79279203086634","216.5090198858978","10.70117923543181","18.847883427566998","Nord-Pas-de-Calais-Picardie","87.61644637983385"
"620547.0","89.0","46.0","694.0","460.0","67.0","525.0","894.0","101.0","1330.0","3.0","44.0","1211.0","144.06644460451827","214.32703727517818","14.342185201120946","16.275962981047368","Auvergne-Rhône-Alpes","87.76932429414205"
"648566.5","77.0","83.0","1037.0","922.0","106.0","712.0","1299.0","148.0","2003.0","4.0","99.0","2431.0","200.28786562364846","308.834945992431","11.87233691533559","22.819556668437237","Aquitaine-Limousin-Poitou-Charentes","123.93395721297232"
"210750.5","42.0","33.0","281.0","133.0","15.0","178.0","364.0","80.0","782.0","1.0","22.0","518.0","172.7160789654117","371.0548729421757","19.92877834216289","37.95957779459598","Languedoc-Roussillon-Midi-Pyrénées","146.6208690255096"
"453161.0","96.0","59.0","496.0","363.0","62.0","376.0","777.0","109.0","1817.0","2.0","67.0","1441.0","171.46223968964674","400.9612477684532","21.184523822659056","24.053261423644134","Languedoc-Roussillon-Midi-Pyrénées","132.86874808553938"
"1072314.0","117.0","155.0","975.0","1089.0","138.0","1099.0","1998.0","229.0","2199.0","25.0","136.0","2544.0","186.3260201769258","205.07052971424415","10.910983163513672","21.355684995253256","Alsace-Champagne-Ardenne-Lorraine","102.86756989318111"
"740783.5","43.0","58.0","750.0","492.0","59.0","529.0","951.0","138.0","1110.0","49.0","52.0","1126.0","128.37758940365168","149.8413504080477","5.804664925717163","18.628924645324847","Alsace-Champagne-Ardenne-Lorraine","77.26194547170229"
"2213327.0","373.0","173.0","2921.0","1916.0","353.0","1376.0","2933.0","424.0","3247.0","8.0","295.0","4568.0","132.5154394267092","146.7022270093845","16.8524578609487","19.156681321829083","Auvergne-Rhône-Alpes","78.43781585905492"
"227981.0","38.0","24.0","168.0","47.0","16.0","94.0","264.0","65.0","395.0","0.0","23.0","255.0","115.79912361117812","173.26005237278545","16.668055671305943","28.511147858812794","Bourgogne-Franche-Comté","90.71035911267583"
"537115.5","76.0","41.0","483.0","255.0","63.0","292.0","679.0","114.0","1025.0","3.0","54.0","820.0","126.4160129432124","190.83418743268442","14.149656824277088","21.22448523641563","Bourgogne-Franche-Comté","86.44429835887789"
"554255.5","101.0","37.0","432.0","246.0","54.0","239.0","532.0","116.0","632.0","1.0","45.0","748.0","95.98461359427196","114.02683419469902","18.22264280643133","20.928975896495388","Pays de la Loire","67.15203490547134"
"421816.5","43.0","35.0","706.0","346.0","63.0","385.0","847.0","131.0","820.0","2.0","55.0","1195.0","200.79821438943236","194.3973267996866","10.19400616144698","31.05615830580359","Auvergne-Rhône-Alpes","117.21463296424905"
"780875.0","38.0","79.0","1335.0","533.0","104.0","674.0","1120.0","137.0","1001.0","4.0","187.0","2002.0","143.42884584600608","128.18953097486795","4.866335841203778","17.544421322234673","Auvergne-Rhône-Alpes","76.07573704988079"
"4192798.0","172.0","322.0","6309.0","5033.0","529.0","3218.0","5896.0","568.0","3190.0","28.0","530.0","6172.0","140.62208577661028","76.08284491644959","4.102272515871263","13.54703947101673","Ile-de-France","62.25337461902658"
"1213921.0","140.0","118.0","933.0","754.0","139.0","591.0","1654.0","311.0","1866.0","10.0","172.0","1607.0","136.25268860164707","153.716757515522","11.532875697841952","25.619459585920335","Normandie","88.77209123368549"
"1380613.0","170.0","104.0","1290.0","707.0","90.0","752.0","1344.0","182.0","1519.0","3.0","132.0","2045.0","97.3480620564923","110.02359097009807","12.313370944645603","13.182550070149999","Ile-de-France","56.81211364675439"
"1444187.5","93.0","170.0","1876.0","1100.0","141.0","1047.0","1843.0","246.0","1194.0","6.0","156.0","2585.0","127.61500843900117","82.67624529363397","6.439607045484053","17.033799281602978","Ile-de-France","64.72985910572503"
"367901.0","64.0","30.0","364.0","106.0","22.0","172.0","424.0","74.0","527.0","3.0","43.0","435.0","115.2483956281717","143.24505777369455","17.395984245761767","20.114106784162043","Aquitaine-Limousin-Poitou-Charentes","75.09411210568362"
"540771.5","114.0","46.0","385.0","341.0","59.0","210.0","1001.0","154.0","936.0","4.0","68.0","864.0","185.1059088727864","173.0860446602678","21.080992618878767","28.477832134274827","Nord-Pas-de-Calais-Picardie","106.92116838150253"
